LOCATION,TIME,Value
BEL,2020-Q3,-3.629760819
BEL,2020-Q4,-4.352385947
BEL,2021-Q1,0.061487069
BEL,2021-Q2,15.175465016
BEL,2021-Q3,5.09560052
BEL,2021-Q4,5.665514422
CAN,2008-Q1,1.585825708
CAN,2008-Q2,0.974880143
CAN,2008-Q3,1.377281448
CAN,2008-Q4,0.08807601
CAN,2009-Q1,-2.248517705
CAN,2009-Q2,-3.663660624
CAN,2009-Q3,-4.017306655
CAN,2009-Q4,-1.758873711
CAN,2010-Q1,1.724913568
CAN,2010-Q2,3.385402366
CAN,2010-Q3,3.651720446
CAN,2010-Q4,3.601873242
CAN,2011-Q1,3.140203861
CAN,2011-Q2,2.80319874
CAN,2011-Q3,3.488097449
CAN,2011-Q4,3.150369226
CAN,2012-Q1,2.442677819
CAN,2012-Q2,2.576982045
CAN,2012-Q3,1.318874171
CAN,2012-Q4,0.73508073
CAN,2013-Q1,1.573583484
CAN,2013-Q2,1.830937489
CAN,2013-Q3,2.521181159
CAN,2013-Q4,3.384447333
CAN,2014-Q1,2.632805647
CAN,2014-Q2,2.972572204
CAN,2014-Q3,3.119733603
CAN,2014-Q4,2.75380714
CAN,2015-Q1,2.022401696
CAN,2015-Q2,0.823871439
CAN,2015-Q3,0.219332497
CAN,2015-Q4,-0.394869166
CAN,2016-Q1,0.704858556
CAN,2016-Q2,0.483168091
CAN,2016-Q3,1.161554002
CAN,2016-Q4,1.653443587
CAN,2017-Q1,2.197779092
CAN,2017-Q2,3.75347556
CAN,2017-Q3,3.12771636
CAN,2017-Q4,3.083114067
CAN,2018-Q1,2.867253653
CAN,2018-Q2,2.624971128
CAN,2018-Q3,2.899105586
CAN,2018-Q4,2.717788724
CAN,2019-Q1,1.918859114
CAN,2019-Q2,2.126804807
CAN,2019-Q3,1.758138855
CAN,2019-Q4,1.717385462
CAN,2020-Q1,-0.567093183
CAN,2020-Q2,-12.414749165
CAN,2020-Q3,-4.856904767
CAN,2020-Q4,-3.062442805
CAN,2021-Q1,0.157745031
CAN,2021-Q2,11.698831984
CAN,2021-Q3,3.831474125
CAN,2021-Q4,3.232168148
CZE,2008-Q1,4.086643983
CZE,2008-Q2,3.914062455
CZE,2008-Q3,2.583955608
CZE,2008-Q4,-0.458873561
CZE,2009-Q1,-4.332828724
CZE,2009-Q2,-5.349052031
CZE,2009-Q3,-5.086406361
CZE,2009-Q4,-3.238640115
CZE,2010-Q1,0.849043346
CZE,2010-Q2,2.379254501
CZE,2010-Q3,2.783825203
CZE,2010-Q4,3.070529529
CZE,2011-Q1,2.965960554
CZE,2011-Q2,2.08772405
CZE,2011-Q3,1.157237979
CZE,2011-Q4,0.863094683
CZE,2012-Q1,0.027807877
CZE,2012-Q2,-0.693756836
CZE,2012-Q3,-0.917401482
CZE,2012-Q4,-1.233918475
CZE,2013-Q1,-1.359149167
CZE,2013-Q2,-0.543689248
CZE,2013-Q3,0.113273973
CZE,2013-Q4,1.630396629
CZE,2014-Q1,1.396007756
CZE,2014-Q2,2.049605777
CZE,2014-Q3,2.795065238
CZE,2014-Q4,2.79273164
CZE,2015-Q1,5.281546598
CZE,2015-Q2,5.745739998
CZE,2015-Q3,5.757359353
CZE,2015-Q4,5.098788695
CZE,2016-Q1,3.393559436
CZE,2016-Q2,2.255475396
CZE,2016-Q3,1.959620105
CZE,2016-Q4,2.170634498
CZE,2017-Q1,3.570373762
CZE,2017-Q2,6.131361227
CZE,2017-Q3,5.879392756
CZE,2017-Q4,5.894849621
CZE,2018-Q1,4.804497555
CZE,2018-Q2,2.681757146
CZE,2018-Q3,2.729405668
CZE,2018-Q4,2.558305925
CZE,2019-Q1,2.967140332
CZE,2019-Q2,3.019525607
CZE,2019-Q3,2.955063995
CZE,2019-Q4,2.884639764
CZE,2020-Q1,-1.478895656
CZE,2020-Q2,-10.941068999
CZE,2020-Q3,-5.480483527
CZE,2020-Q4,-5.314563429
CZE,2021-Q1,-2.289054372
CZE,2021-Q2,8.720905569
CZE,2021-Q3,3.574756399
CZE,2021-Q4,3.567476676
DNK,2008-Q1,1.45612883
DNK,2008-Q2,0.972250724
DNK,2008-Q3,-0.551895439
DNK,2008-Q4,-3.867425881
DNK,2009-Q1,-5.196421572
DNK,2009-Q2,-6.168268009
DNK,2009-Q3,-5.290600352
DNK,2009-Q4,-2.911942209
DNK,2010-Q1,-0.659459022
DNK,2010-Q2,1.996593348
DNK,2010-Q3,3.256597062
DNK,2010-Q4,2.930815669
DNK,2011-Q1,2.271855039
DNK,2011-Q2,2.595693052
DNK,2011-Q3,-0.261522916
DNK,2011-Q4,0.780333475
DNK,2012-Q1,0.491421016
DNK,2012-Q2,-0.430965796
DNK,2012-Q3,0.917642586
DNK,2012-Q4,-0.062150336
DNK,2013-Q1,0.571188203
DNK,2013-Q2,0.570215085
DNK,2013-Q3,1.11226999
DNK,2013-Q4,1.479632236
DNK,2014-Q1,1.166224286
DNK,2014-Q2,1.017899621
DNK,2014-Q3,2.062368885
DNK,2014-Q4,2.222885506
DNK,2015-Q1,2.662785995
DNK,2015-Q2,3.217787663
DNK,2015-Q3,1.824728012
DNK,2015-Q4,1.686875018
DNK,2016-Q1,2.158906178
DNK,2016-Q2,3.058665445
DNK,2016-Q3,3.620422425
DNK,2016-Q4,4.134965567
DNK,2017-Q1,3.622621239
